JAPAN-A_Core マクロ経済複雑系シミュレーション結果
エクスポート日時,2026/06/17 21:31:50
[前提条件 (Inputs)]
項目,設定値,単位,実態適合スケーリング後/説明
初期名目GDP(Y0),691.9,兆円,開始時点(t=0)の名目GDP (実態適合)
初期政府債務残高(B0),1145.0,兆円,開始時点(t=0)の普通国債残高 (実態適合)
初期インフレ率(pi0),2.00,%,開始時点(t=0)の年率インフレ率
初期政策金利(r0),0.25,%,開始時点(t=0)の政策金利
初期長期金利(R0),3.00,%,開始時点(t=0)の長期金利 (リスクプレミアム加味)
初期為替レート(E0),150.0,円/ドル,開始時点(t=0)の為替レート
初期日銀国債保有量(BOJ0),588.4,兆円,開始時点(t=0)の日銀保有国債残高
初期民間保有国債(B_private0),556.6,兆円,開始時点(t=0)の民間部門保有国債残高
政府支出(G),100,兆円,実態適合スケーリング後: 91.0 兆円 (令和8年度予算ベース)
税率(tau),20,%,実効税率調整係数込で初期税収 83.7 兆円に適合
利上げ上限パルス(delta_r_max),0.25,%,1期(四半期)あたりの最大金利変更幅
目標インフレ率(pi_target),2.0,%,中央銀行 of Japan の政策金利調整基準インフレ目標
潜在GDP(Y_potential),500,兆円,実態適合スケーリング後: 691.9 兆円 (供給側上限)
日銀国債買い入れ額(Op),6.0,兆円/月,量的金融政策 (QT/QEの境界は 3.0 兆円/月)
シミュレーション期間(steps),120,期,1期=四半期 (合計: 30.0 年間)

[シミュレーション時系列データ (Outputs)]
期 (step),名目GDP (Y) [兆円],消費 (C) [兆円],投資 (I) [兆円],政府債務残高 (B) [兆円],税収 (T) [兆円],日銀保有国債 (B_boj) [兆円],日銀当座預金負債 (J_pos) [兆円],民間保有国債 (B_private) [兆円],インフレ率 (pi) [%],政策金利 (r) [%],長期金利 (R) [%],為替レート (USDJPY) [円/ドル],利払い費 (interest_payment) [兆円],当座預金付利負担 (boj_interest_payment) [兆円]
73,925.7760,509.1768,85.2511,2767.6976,111.9923,624.9000,543.6000,2142.7976,5.3347,17.7351,24.5828,171.8631,99.3699,95.0492
74,922.3046,507.2675,83.1545,2811.9743,111.5723,625.4000,543.6000,2186.5743,5.3234,17.9851,24.9681,171.8720,101.2713,96.4082
75,918.6531,505.2592,81.0444,2857.1881,111.1306,625.9000,543.6000,2231.2881,5.3092,18.2351,25.3558,171.8555,103.2184,97.7672
76,914.8243,503.1534,78.9227,2903.3559,110.6674,626.4000,543.6000,2276.9559,5.2922,18.2276,25.7458,171.8127,105.2124,99.1262
77,910.9392,501.0166,77.9741,2950.0853,110.1974,626.9000,543.6000,2323.1853,5.2722,17.9776,25.8805,171.7646,107.0298,99.0853
78,907.1137,498.9126,78.1343,2996.9975,109.7347,627.4000,543.6000,2369.5975,5.2497,17.7276,25.7730,171.7312,108.6572,97.7263
79,903.3549,496.8452,78.3033,3044.0911,109.2800,627.9000,543.6000,2416.1911,5.2252,17.4776,25.6639,171.7116,110.2870,96.3673
80,899.6683,494.8176,78.4823,3091.3644,108.8340,628.4000,543.6000,2462.9644,5.1993,17.2276,25.5531,171.7050,111.9188,95.0083
81,896.0587,492.8323,78.6721,3138.8155,108.3973,628.9000,543.6000,2509.9155,5.1725,16.9776,25.4404,171.7109,113.5524,93.6493
82,892.5296,490.8913,78.8737,3186.4423,107.9704,629.4000,543.6000,2557.0423,5.1451,16.7276,25.3258,171.7292,115.1874,92.2903
83,889.0842,488.9963,79.0879,3234.2426,107.5536,629.9000,543.6000,2604.3426,5.1175,16.4776,25.2091,171.7595,116.8237,90.9313
84,885.7247,487.1486,79.3153,3282.2141,107.1472,630.4000,543.6000,2651.8141,5.0899,16.2276,25.0903,171.8017,118.4609,89.5723
